batch,bwd_cuda_ms,bwd_end_ns,bwd_start_ns,bwd_wall_ms,fwd_cuda_ms,fwd_end_ns,fwd_start_ns,fwd_wall_ms
0,40.72777557373047,4425387591747360,4425387550964459,40.782901,151.5478973388672,4425387550928871,4425387399262001,151.66687
1,0.4384639859199524,4425387636698437,4425387636231624,0.466813,0.4322879910469055,4425387636215412,4425387635700143,0.515269
2,0.32972800731658936,4425387638179380,4425387637820873,0.358507,0.2396160066127777,4425387637809332,4425387637524930,0.284402
3,0.35020801424980164,4425387639684398,4425387639302999,0.381399,0.24777600169181824,4425387639289815,4425387638974371,0.315444
4,0.3197120130062103,4425387643378555,4425387643026553,0.352002,0.2754560112953186,4425387643011547,4425387642663186,0.348361
5,0.2805759906768799,4425387644750060,4425387644442209,0.307851,0.22630399465560913,4425387644430971,4425387644161294,0.269677
6,0.26316800713539124,4425387645967024,4425387645677626,0.289398,0.22220799326896667,4425387645666253,4425387645400752,0.265501
7,0.2664960026741028,4425387647153516,4425387646860612,0.292904,0.21299199759960175,4425387646849960,4425387646598723,0.251237
8,0.26214399933815,4425387648309496,4425387648020638,0.288858,0.2088959962129593,4425387648009667,4425387647754431,0.255236
9,0.2590720057487488,4425387649458631,4425387649173985,0.284646,0.21503999829292297,4425387649163565,4425387648911035,0.25253
10,0.26521599292755127,4425387650630029,4425387650338165,0.291864,0.2170879989862442,4425387650326881,4425387650067678,0.259203
11,0.2887679934501648,4425387651863830,4425387651545766,0.318064,0.2303999960422516,4425387651534295,4425387651263101,0.271194
12,0.30003198981285095,4425387653196603,4425387652868029,0.328574,0.2242880016565323,4425387652856826,4425387652591343,0.265483
13,0.2826240062713623,4425387654479755,4425387654168659,0.311096,0.22937600314617157,4425387654157299,4425387653888196,0.269103
14,0.29286399483680725,4425387655796532,4425387655472869,0.323663,0.23119999468326569,4425387655460254,4425387655183470,0.276784
15,0.2682879865169525,4425387657071109,4425387656770770,0.300339,0.22220799326896667,4425387656759118,4425387656495529,0.263589
16,0.2654080092906952,4425387658306985,4425387658013047,0.293938,0.21695999801158905,4425387657991442,4425387657735039,0.256403
17,0.26128000020980835,4425387659472517,4425387659184780,0.287737,0.2170879989862442,4425387659174367,4425387658918463,0.255904
18,0.2590720057487488,4425387660623666,4425387660338766,0.2849,0.20694400370121002,4425387660328517,4425387660082811,0.245706
19,0.25702399015426636,4425387661737800,4425387661455214,0.282586,0.19862399995326996,4425387661445758,4425387661211200,0.234558
20,0.2568640112876892,4425387662862478,4425387662580814,0.281664,0.19865599274635315,4425387662570981,4425387662336100,0.234881
21,0.2690880000591278,4425387664029212,4425387663714775,0.314437,0.20377600193023682,4425387663704189,4425387663462143,0.242046
22,0.2887359857559204,4425387665375447,4425387665047608,0.327839,0.2322240024805069,4425387665036170,4425387664761776,0.274394
23,0.2895359992980957,4425387666668869,4425387666349995,0.318874,0.22015999257564545,4425387666339280,4425387666079775,0.259505
24,0.2826240062713623,4425387667954805,4425387667643396,0.311409,0.21606400609016418,4425387667632276,4425387667376299,0.255977
25,0.2908160090446472,4425387669239536,4425387668919999,0.319537,0.21299199759960175,4425387668909633,4425387668656830,0.252803
26,0.2651839852333069,4425387670536479,4425387670245881,0.290598,0.23244799673557281,4425387670235354,4425387669961522,0.273832
27,0.2722559869289398,4425387671699681,4425387671402089,0.297592,0.2099200040102005,4425387671392443,4425387671143757,0.248686
28,0.26214399933815,4425387672832648,4425387672545111,0.287537,0.2017280012369156,4425387672535040,4425387672296778,0.238262
29,0.2590720057487488,4425387673955827,4425387673671534,0.284293,0.20262399315834045,4425387673661887,4425387673423996,0.237891
30,0.27033600211143494,4425387675138583,4425387674843424,0.295159,0.2202560007572174,4425387674833258,4425387674574079,0.259179
31,0.27033600211143494,4425387676274967,4425387675977536,0.297431,0.20479999482631683,4425387675967670,4425387675725513,0.242157
